track_name,artists,streams,released_year
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",Lil Uzi Vert,37126685,2023
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",Metro Boomin,37126685,2023
Eyes Closed,Ed Sheeran,195576623,2023
Escapism.,RAYE,532336353,2022
Escapism.,070 Shake,532336353,2022
La Jumpa,Arcangel,538115192,2022
La Jumpa,Bad Bunny,538115192,2022
Karma (feat. Ice Spice),Taylor Swift,46142772,2023
Karma (feat. Ice Spice),Ice Spice,46142772,2023
Superhero (Heroes & Villains) [with Future & Chris Brown],Future,401036314,2022
Superhero (Heroes & Villains) [with Future & Chris Brown],Chris Brown,401036314,2022
Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,401036314,2022
Las Morras,BLESSD,127026613,2023
Las Morras,Peso Pluma,127026613,2023
CHORRITO PA LAS ANIMAS,Feid,345031710,2022
Ch y la Pizza,Fuerza Regida,288101651,2022
Ch y la Pizza,Natanael Cano,288101651,2022
Snow On The Beach (feat. More Lana Del Rey),Lana Del Rey,60350538,2023
Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,60350538,2023
Players,Coi Leray,335074782,2022
Bite Me,ENHYPEN,76767396,2023
Stand By Me (feat. Morgan Wallen),Lil Durk,46065667,2023
Stand By Me (feat. Morgan Wallen),Morgan Wallen,46065667,2023
Normal,Feid,459276435,2022
Hummingbird (Metro Boomin & James Blake),James Blake,39666245,2023
Hummingbird (Metro Boomin & James Blake),Metro Boomin,39666245,2023
Seu Brilho Sumiu - Ao Vivo,Israel & Rodolffo,138517666,2023
Seu Brilho Sumiu - Ao Vivo,Mari Fernandez,138517666,2023
Bad Habit,Steve Lacy,822633917,2022
CUFF IT,Beyonc?,595900742,2022
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,51985779,2023
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Suga,51985779,2023
69,Nicky Jam,57945987,2023
69,Feid,57945987,2023
Ni??a Bo,Sean Paul,115010040,2023
Ni??a Bo,Feid,115010040,2023
Search & Rescue,Drake,175097833,2023
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Kendrick Lamar,57089066,2023
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyonc?,57089066,2023
Lavender Haze,Taylor Swift,488386797,2022
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",WizKid,32761689,2023
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",Toian,32761689,2023
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",Metro Boomin,32761689,2023
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",Don Toliver,32761689,2023
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",Beam,32761689,2023
Efecto,Bad Bunny,1047480053,2022
Erro Gostoso - Ao Vivo,Simone Mendes,153454328,2023
Cupido,Tini,217672943,2023
Just Wanna Rock,Lil Uzi Vert,457184829,2022
Unstoppable,Sia,939844851,2016
Until I Found You,Stephen Sanchez,726434358,2021
Rich Flex,Drake,573633020,2022
Rich Flex,21 Savage,573633020,2022
Easy On Me,Adele,1406111294,2021
Cart??o B,MC Caverinha,71573339,2023
Cart??o B,KayBlack,71573339,2023
Danger (Spider) (Offset & JID),Offset,24975653,2023
Danger (Spider) (Offset & JID),JID,24975653,2023
Oi Balde - Ao Vivo,Z?? Neto & Crist,145458418,2023
The Real Slim Shady,Eminem,1424589568,2000
MERCHO,Migrantes,231332117,2022
MERCHO,LiL CaKe,231332117,2022
MERCHO,Nico Valdi,231332117,2022
The Color Violet,Tory Lanez,415932686,2021
Glimpse of Us,Joji,988515741,2022
Mejor Que Yo,Mambo Kingz,50847624,2023
Mejor Que Yo,DJ Luian,50847624,2023
Mejor Que Yo,Anuel Aa,50847624,2023
Curtains,Ed Sheeran,39893489,2023
UNFORGIVEN (feat. Nile Rodgers),Nile Rodgers,92035115,2023
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,92035115,2023
Haegeum,Agust D,118810253,2023
Conex??es de M??fia (feat. Rich,Rich The Kid,77233241,2023
Conex??es de M??fia (feat. Rich,Matu?,77233241,2023
MIENTRAS ME CURO DEL CORA,Karol G,206399629,2023
Never Felt So Alone,Labrinth,117747907,2023
X SI VOLVEMOS,Karol G,266624541,2023
X SI VOLVEMOS,Romeo Santos,266624541,2023
ceilings,Lizzy McAlpine,293186992,2022
Cupid,Fifty Fifty,139681964,2023
I AM,IVE,123132751,2023
Cupid ??? Twin Ver. (FIFTY FIFTY) ??? Spe,sped up 8282,103762518,1997
Shorty Party,Cartel De Santa,162887075,2023
Shorty Party,La Kelly,162887075,2023
Super,SEVENTEEN,91221625,2023
Slut Me Out,NLE Choppa,190490915,2022
